Estado,Nombre,Ubicación,Telefono 1,Telefono 2 ,Correo,Página Web,Facebook ,Twitter,Instagram,Youtube
Aguascalientes ,Instituto del Agua del Estado (INAGUA),"Calle 18 de Marzo No. 98, Fraccionamiento Las Hadas. C.P. 20140 Aguascalientes, Ags",(449) 9102586,01-800-900-2002 Ext. 7986,inagua@aguascalientes.gob.mx,http://www.aguascalientes.gob.mx/inagua/,,,,
Baja California,Comisión Estatal del Agua (CEA),"Blvd. Anáhuac No. 1016, Col. El Vidrio,Mexicali, B.C. C.P. 21080",(686)555-6492,(686) 555-4723 ext. 117,transparencia@ceabc.gob.mx,www.ceabc.gob.mx,https://www.facebook.com/ceabcmx/,,,
Baja California Sur,SAPA,"Gral. Félix Ortega 2330 e/ Gral. Márquez de León y Normal Urbana, Col. Centro, CP. 23000, La Paz, B.C.S",12-38600,,,http://sapa.lapaz.gob.mx/,,,,
Campeche ,Comision de Agua Potable y Alcantarillado del Estado de Campeche (CAPAE),"Avenida Pedro Sainz de Baranda SN Local 311 AH KIM PECH San Francisco de Campeche, Camp. CP: 24014",01 (981) 81 68680,,,http://capae.gob.mx/,https://www.facebook.com/Capaecampeche-898243186879426/?ref=page_internal,https://twitter.com/capaecampeche,https://www.instagram.com/capaecampeche/,
Coahuila,COMISIÓN ESTATAL DE AGUAS Y SANEAMIENTO CEAS," Real del Sol III, Saltillo, Coah.", 01 844 698 1040,,,http://www.ceascoahuila.gob.mx/,,https://twitter.com/ceascoahuila?lang=es,,
Colima,,,,,,,,,,
Chiapas,Instituto Estatal del Agua (IEA),"Palacio De Gobierno, Planta Baja, Col. Centro. Tuxtla Gutiérrez, CP 29000 ",(+)52 (961) 60 013 91,,info@inesa.chiapas.gob.mx,http://www.institutodelagua.chiapas.gob.mx/conocenos-menu,https://www.facebook.com/inesa.chiapas,https://twitter.com/inesa_chiapas,,
Chihuahua,Junta Central de Agua y Saneamiento (JCAS),"Avenida Teofilo Borunda # 500 . C.P. 31000 Chihuahua, Chih",(614) 439 35 00,,,http://www.chihuahua.gob.mx/jcas/,https://www.facebook.com/JuntaCentraldeAguaySaneamiento?fref=ts,,,
Distrito Federal,,,,,,,,,,
Durango,COMISIÓN DEL AGUA DEL ESTADO DE DURANGO,Matamoros 324 Barrio de Tierra Blanca 34139 ,(618) 137-42-00,,,http://caed.durango.gob.mx/transparencia/estado-analitico-de-ingresos/,,,,
Guanajuato,Comsisión Estatal del Agua de Guanajuato," Autopista Guanajuato - Silao Km. 1,  Guanajuato, Gto. C.P. 36251",01 (473) 735 18 00,,,http://agua.guanajuato.gob.mx/contactanos.php,https://www.facebook.com/AguaGto,https://twitter.com/Agua_Gto,,https://www.youtube.com/user/CEAGuanajuato
Guerrero,Comision De Agua Potable Alcantarillado Y Saneamiento Del Estado De Guerrero,"Boulevard René Juárez Cisneros #62, Col. Cd. de los servicios, C.P 39074, Chilpancingo, Guerrero; México",01 (747) 47 1 9700,,,,,,,
Hidalgo,Comisión Estatal del Agua y Alcantarillado,"Emilio Carranza No. 101 Col. Carlos Rovirosa C.P. 42082. Pachuca de Soto, Hidalgo, México","52 (771) 715 8390,93 al 96",,ceaa.direcciongeneral@hidalgo.gob.mx,http://ceaa.hidalgo.gob.mx/,https://www.facebook.com/ceaahidalgo.ceaa?fref=ts,https://twitter.com/CEAA_HGO?protected_redirect=true,,
Jalisco,Comisión Estatal del Agua de Jalisco,"Brasilia 2660, Col. Colomos Providencia, C.P. 44680, Jalisco, México.", (33) 3030-9350,01 800 087 9310,,https://www.ceajalisco.gob.mx/,https://www.facebook.com/cea.jalisco,https://twitter.com/CEA_Jalisco,https://www.instagram.com/cea_jalisco/,https://www.youtube.com/user/CeaJalisco
Estado de México,Comisión del Agua del Estado de México,"Félix Guzmán No 10, col. El Parque, C.P. 53390, Naucalpan Estado de México ,",01(55) 53586868,,caem@edomex.gob.mx,http://caem.edomex.gob.mx/,https://www.facebook.com/caemedomex,https://twitter.com/CaemEdomex,,
Michoacan,,,,,,,,,,
Morelos,,,,,,,,,,
Nayarit,Comisión Estatal de Agua Potable y Alcantarillado (CEAPA),"Av. Insurgentes 1060 Ote. Colonia Centro.Tepic, Nayarit.",(311) 213 55 32,(311) 213 52 18,,https://cea.nayarit.gob.mx/,https://www.facebook.com/ceapa.nayarit/,https://twitter.com/CEAPA_Nayarit,,
Nuevo León,Instituto del Agua del Estado de Nuevo León,Calle Av. Alianza Norte 306. Parque de Investigación e innovación Tecnológica Apodaca. Nuevo León. CP. 66600,(+)52(81) 81961100,,vburgos@ianl.org.mx,http://www.nl.gob.mx/ia,https://www.facebook.com/AguayDrenajeMty,https://twitter.com/infoIANL,,
Oaxaca,Comisión Estatal del Agua,"San Bartolo, 71256 San Bartolo Coyotepec, Oax.",(951)501.69.00,,,http://www.cea.oaxaca.gob.mx/contacto/,,,,
Puebla,Comisión Estatal de Agua y Saneamiento del Estado de Puebla,"Via Atlixcáyotl 1101, Geovillas Atlixcayotl, Corredor Comercial Desarrollo Atlixcayotl, Puebla, Pue."," (222) 303 46 00, extensión 2231.",,,http://ceaspue.puebla.gob.mx/contacto,https://www.facebook.com/ceaspueoficial/,https://twitter.com/ceaspueoficial?lang=es,,https://www.youtube.com/channel/UCE3GGaiAtMrGA0IpZqglJUg?view_as=subscriber
Querétaro,COMISIÓN ESTATAL DE AGUAS  ,,(442) 2110-600,,,http://www.ceaqueretaro.gob.mx/,https://www.facebook.com/CEAQueretaro/,https://twitter.com/cea_qro,,https://www.youtube.com/channel/UC0VDaC4AK6475bcZqvK5Uvw
Quintana Roo,Comisión de Agua Potable y Alcantarillado del Estado de Quintana Roo,,,,,http://qroo.gob.mx/capa,,,,
San Luis Potosí,Comisión Estatal del Agua,"Mariano Otero #905, Barrio de Tequisquiapam, C.P. 78250", (444) 834 15 00,,cea@slp.gob.mx,http://www.ceaslp.gob.mx/,https://www.facebook.com/cea.slp,https://twitter.com/CEA_SLP,,https://www.youtube.com/user/CEASLP
Sinaloa,Comisión Estatal de Agua Potable y Alcantarillado de Sinaloa,"C. Jesús G. Andrade 69 norte, entre Colón y Madero, Centro. Culiacán, Sinaloa.", 667 716-3253,667 716-3253,,http://ceapas.gob.mx/,https://www.facebook.com/Ceapas-862211283844234/,,,
Sonora,Comisión Estatal del Agua,"Ocampo No. 49 entre Irineo Michel y José María Ávila, Col. Centenario. C.P. 83260. Hermosillo, Sonora. ",(662) 289 57 00,,,http://www.ceasonora.gob.mx/#,https://www.facebook.com/CEASonora.2015.2021,https://twitter.com/CEASonora,,
Tabasco,Comisión Estatal de Agua y Saneamiento,"Av. Paseo de la Sierra #402 Col. Reforma, C.P.86080 Villahermosa, Tabasco, MX",(+)52 (993) 3 13 66 00,,,https://tabasco.gob.mx/ceas,https://www.facebook.com/gobiernodetabasco,https://twitter.com/Gobierno_Tab,,
Tamaulipas,Comisión Estatal del Agua de Tamaulipas,"Centro Gubernamental de Oficinas – Piso 07. Parque Bicentenario – Cd. Victoria, Tamaulipas, México, CP 87078.",(834) 107 8318,,,https://www.tamaulipas.gob.mx/ceat/,https://www.facebook.com/ceat.tamaulipas,https://twitter.com/ceat1,,
Tlaxcala,Comisión de Agua Potable y Alcantarillado del Municipio de Tlaxcala,"20 noviembre #46-A, Col. Centro, Tlaxcala. C.P. 90000 Tlaxcala de Xicohténcatl",46 2 14 37,,,http://www.capamtlax.gob.mx/web/inicio.php,https://www.facebook.com/CAPAMTLAXCALA2017/,,,
Veracruz,Comisión del Agua del Estado de Veracruz,"Av. Lázaro Cárdenas No. 295, Colonia El Mirador. C.P. 91170, Xalapa, Veracruz",01 (228) 814-9889 Conmutador Ext. 9,01 (800) 277-2782,vabenitez@veracruz.gob.mx,http://www.caev.gob.mx/,,,,
Yucatan,Junta de Agua Potable y Alcantarillado de Yucatán,"C. 60 # 526 x 65 y 67 Col. Centro. C.P. 97000, Mérida, Yucatán, México.",Tel. 01 (999) 930.34.50,,,http://www.japay.yucatan.gob.mx/,https://www.facebook.com/JapayOficial/?ref=bookmarks,https://twitter.com/@JAPAYOficial,,
