Entidad_nombre,clave_ent,adm_ing_total,pob,gast_agua_per_capita_anual,gast_agua_per capita_mensual
Aguascalientes,1,7.58E+08,1304744,581.2634509,48.43862091
Baja California,2,4.65E+09,3534688,1314.967545,109.5806287
Baja California Sur,3,7.35E+08,786864,933.9606336,77.8300528
Campeche,4,1.86E+08,921517,201.9496113,16.82913428
Coahuila,5,2.12E+09,2995378,707.0893891,58.92411575
Colima,6,6.10E+08,735724,829.1152661,69.09293884
Chiapas,7,1.39E+09,5317960,260.8142972,21.73452477
Chihuahua,8,2.85E+09,3746281,761.021397,63.41844975
Distrito Federal,9,0,8833416,0,0
Durango,10,6.48E+08,1782205,363.5384257,30.29486881
Guanajuato,11,4.34E+09,5864016,739.9365895,61.66138246
Guerrero,12,1.09E+09,3588255,303.4901366,25.29084471
Hidalgo,13,1.05E+09,2913152,360.7776045,30.06480037
Jalisco,14,6.04E+09,8022181,752.4138386,62.70115322
México,15,8.08E+09,17118525,472.1785317,39.34821098
Michoacán,16,1.64E+09,4627902,354.588321,29.54902675
Morelos,17,6.19E+08,1943044,318.3149738,26.52624782
Nayarit,18,3.49E+08,1246202,280.2916381,23.35763651
Nuevo León,19,5.89E+09,5157780,1142.545824,95.212152
Oaxaca,20,9.55E+08,4037357,236.5161169,19.7096764
Puebla,21,3.12E+09,6254597,498.1935687,41.51613072
Querétaro,22,1.99E+09,2034030,975.8951441,81.32459534
Quintana Roo,23,1.95E+09,1619762,1202.028446,100.1690372
San Luis Potosí,24,1.83E+09,2777995,658.7484859,54.89570716
Sinaloa,25,1.96E+09,3009952,650.5087124,54.20905937
Sonora,26,4.84E+09,2972580,1626.53318,135.5444317
Tabasco,27,1.59E+08,2407860,66.15833146,5.513194289
Tamaulipas,28,2.53E+09,3583295,706.6122103,58.88435086
Tlaxcala,29,89737178,1295781,69.25335223,5.771112685
Veracruz,30,2.33E+09,8106138,287.9299612,23.99416344
Yucatán,31,58749612,2145878,27.37789008,2.28149084
Zacatecas,32,5.46E+08,1588418,343.6123237,28.63436031
,,,,,
